year	team_1	team_1_win_percent_series	team_1_win_percent_matches	team_1_kda	team_1_gpm	team_1_xpm	team_2	team_2_win_percent_series	team_2_win_percent_matches	team_2_kda	team_2_gpm	team_2_xpm	winner
2014	Newbee	100	77	4.69	2046	2055	Vici Gaming	67	50	2.83	1813	1789	1
2014	Evil Geniuses	33	43	3.34	1863	1967	Vici Gaming	67	50	2.83	1813	1789	2
2014	Vici Gaming	67	50	2.83	1813	1789	DK	25	28	2.98	1886	1894	1
2014	PSG.LGD	67	50	2.83	1813	1789	DK	25	28	2.98	1886	1894	2
2014	Vici Gaming	67	50	2.83	1813	1789	Team 1333179	50	50	2.85	1983	1945	1
2014	INVICTUS GAMING	0	33	2.03	1725	1692	PSG.LGD	67	50	2.83	1813	1789	2
2014	Team 1333179	50	50	2.85	1983	1945	Natus Vincere	0	33	2.04	1818	1719	1
2015	Evil Geniuses	80	69	3.9	2013	2120	CDEC	75	70	3.97	1940	2012	1
2015	PSG.LGD	60	50	3.37	1855	1897	Evil Geniuses	80	69	3.9	2013	2120	2
2015	PSG.LGD	60	50	3.37	1855	1897	Vici Gaming	80	80	4.1	2006	2065	1
2015	CDEC	75	70	3.97	1940	2012	Evil Geniuses	80	69	3.9	2013	2120	1
2015	Virtus.pro	75	55	3.51	1913	2060	PSG.LGD	60	50	3.37	1855	1897	2
2015	Vici Gaming	80	80	4.1	2006	2065	EHOME	33	43	3.02	1869	2093	1
2015	Team Secret	33	37	2.58	2002	2002	Virtus.pro	75	55	3.51	1913	2060	2
2015	MVP Phoenix	66	60	2.8	2047	2015	Vici Gaming	80	80	4.1	2006	2065	2
2015	Evil Geniuses	80	69	3.9	2013	2120	EHOME	33	43	3.02	1869	2093	1
2015	CDEC	75	70	3.97	1940	2012	PSG.LGD	60	50	3.37	1855	1897	1
2016	wings gaming	100	81	4.5	2144	2181	Digital Chaos	71	63	3.62	2114	2037	1
2016	Digital Chaos	71	63	3.62	2114	2037	Evil Geniuses	50	55	4.05	2028	2016	1
2016	Digital Chaos	71	63	3.62	2114	2037	Fnatic	80	77	4.07	2225	2197	1
2016	Evil Geniuses	50	55	4.05	2028	2016	wings gaming	100	81	4.5	2144	2181	2
2016	Fnatic	80	77	4.07	2225	2197	MVP Phoenix	33	28	2.81	1980	1896	1
2016	EHOME	33	33	2.96	1965	2019	Digital Chaos	71	63	3.62	2114	2037	2
2016	Team Liquid	66	50	4.15	2055	2067	Fnatic	80	77	4.07	2225	2197	2
2016	TNC Predator	66	66	3.12	2079	1976	Digital Chaos	71	63	3.62	2114	2037	2
2016	Evil Geniuses	50	55	4.05	2028	2016	EHOME	33	33	2.96	1965	2019	1
2016	MVP Phoenix	33	28	2.81	1980	1896	wings gaming	100	81	4.5	2144	2181	2